"word","sentence","vampires"
"to",15,1
"have",15,1
"some",15,1
"importance",15,1
"in",15,1
"dealing",15,1
"with",15,1
"a",15,1
"nobleman",15,1
"of",15,1
"that",15,1
"country",15,1
"i",16,1
"find",16,1
"that",16,1
"the",16,1
"district",16,1
"he",16,1
"named",16,1
"is",16,1
"in",16,1
"the",16,1
"extreme",16,1
"east",16,1
"of",16,1
"the",16,1
"country",16,1
"just",16,1
"on",16,1
"the",16,1
"borders",16,1
"of",16,1
"three",16,1
"states",16,1
"transylvania",16,1
"moldavia",16,1
"and",16,1
"bukovina",16,1
"in",16,1
"the",16,1
"midst",16,1
"of",16,1
"the",16,1
"carpathian",16,1
"mountains",16,1
"one",16,1
"of",16,1
"the",16,1
"wildest",16,1
"and",16,1
"least",16,1
"known",16,1
"portions",16,1
"of",16,1
"europe",16,1
"i",17,1
"was",17,1
"not",17,1
"able",17,1
"to",17,1
"light",17,1
"on",17,1
"any",17,1
"map",17,1
"or",17,1
"work",17,1
"giving",17,1
"the",17,1
"exact",17,1
"locality",17,1
"of",17,1
"the",17,1
"castle",17,1
"dracula",17,1
"as",17,1
"there",17,1
"are",17,1
"no",17,1
"maps",17,1
"of",17,1
"this",17,1
"country",17,1
"as",17,1
"yet",17,1
"to",17,1
"compare",17,1
"with",17,1
"our",17,1
"own",17,1
"ordnance",17,1
"survey",17,1
"maps",17,1
"but",17,1
"i",17,1
"found",17,1
"that",17,1
"bistritz",17,1
"the",17,1
"post",17,1
"town",17,1
"named",17,1
"by",17,1
"count",17,1
"dracula",17,1
"is",17,1
"a",17,1
"fairly",17,1
"well-known",17,1
"place",17,1
"i",18,1
"shall",18,1
"enter",18,1
"here",18,1
"some",18,1
"of",18,1
"my",18,1
"notes",18,1
"as",18,1
"they",18,1
"may",18,1
"refresh",18,1
"my",18,1
"memory",18,1
"when",18,1
"i",18,1
"talk",18,1
"over",18,1
"my",18,1
"travels",18,1
"with",18,1
"mina",18,1
"in",19,1
"the",19,1
"population",19,1
"of",19,1
"transylvania",19,1
"there",19,1
"are",19,1
"four",19,1
"distinct",19,1
"nationalities",19,1
"saxons",19,1
"in",19,1
"the",19,1
"south",19,1
"and",19,1
"mixed",19,1
"with",19,1
"them",19,1
"the",19,1
"wallachs",19,1
"who",19,1
"are",19,1
"the",19,1
"descendants",19,1
"of",19,1
"the",19,1
"dacians",19,1
"magyars",19,1
"in",19,1
"the",19,1
"west",19,1
"and",19,1
"szekelys",19,1
"in",19,1
"the",19,1
"east",19,1
"and",19,1
"north",19,1
"i",20,1
"am",20,1
"going",20,1
"among",20,1
"the",20,1
"latter",20,1
"who",20,1
"claim",20,1
"to",20,1
"be",20,1
"descended",20,1
"from",20,1
"attila",20,1
"and",20,1
"the",20,1
"huns",20,1
"this",21,1
"may",21,1
"be",21,1
"so",21,1
"for",21,1
"when",21,1
"the",21,1
"magyars",21,1
"conquered",21,1
"the",21,1
"country",21,1
"in",21,1
"the",21,1
"eleventh",21,1
"century",21,1
"they",21,1
"found",21,1
"the",21,1
"huns",21,1
"settled",21,1
"in",21,1
"it",21,1
"i",22,1
"read",22,1
"that",22,1
"every",22,1
"known",22,1
"superstition",22,1
"in",22,1
"the",22,1
"world",22,1
"is",22,1
"gathered",22,1
"into",22,1
"the",22,1
"horseshoe",22,1
"of",22,1
"the",22,1
"carpathians",22,1
"as",22,1
"if",22,1
"it",22,1
"were",22,1
"the",22,1
"centre",22,1
"of",22,1
"some",22,1
"sort",22,1
"of",22,1
"imaginative",22,1
"whirlpool",22,1
"if",22,1
"so",22,1
"my",22,1
"stay",22,1
"may",22,1
"be",22,1
"very",22,1
"interesting",22,1
"mem",23,1
"i",24,1
"must",24,1
"ask",24,1
"the",24,1
"count",24,1
"all",24,1
"about",24,1
"them",24,1
"i",25,1
"did",25,1
"not",25,1
"sleep",25,1
"well",25,1
"though",25,1
"my",25,1
"bed",25,1
"was",25,1
"comfortable",25,1
"enough",25,1
"for",25,1
"i",25,1
"had",25,1
"all",25,1
"sorts",25,1
"of",25,1
"queer",25,1
"dreams",25,1
"there",26,1
"was",26,1
"a",26,1
"dog",26,1
"howling",26,1
"all",26,1
"night",26,1
"under",26,1
"my",26,1
"window",26,1
"which",26,1
"may",26,1
"have",26,1
"had",26,1
"something",26,1
"to",26,1
"do",26,1
"with",26,1
"it",26,1
"or",26,1
"it",26,1
"may",26,1
"have",26,1
"been",26,1
"the",26,1
"paprika",26,1
"for",26,1
"i",26,1
"had",26,1
"to",26,1
"drink",26,1
"up",26,1
"all",26,1
"the",26,1
"water",26,1
"in",26,1
"my",26,1
"carafe",26,1
"and",26,1
"was",26,1
"still",26,1
"thirsty",26,1
"towards",27,1
"morning",27,1
"i",27,1
"slept",27,1
"and",27,1
"was",27,1
"wakened",27,1
"by",27,1
"the",27,1
"continuous",27,1
"knocking",27,1
"at",27,1
"my",27,1
"door",27,1
"so",27,1
"i",27,1
"guess",27,1
"i",27,1
"must",27,1
"have",27,1
"been",27,1
"sleeping",27,1
"soundly",27,1
"then",27,1
"i",28,1
"had",28,1
"for",28,1
"breakfast",28,1
"more",28,1
"paprika",28,1
"and",28,1
"a",28,1
"sort",28,1
"of",28,1
"porridge",28,1
"of",28,1
"maize",28,1
"flour",28,1
"which",28,1
"they",28,1
"said",28,1
"was",28,1
"mamaliga",28,1
"and",28,1
"egg-plant",28,1
"stuffed",28,1
"with",28,1
"forcemeat",28,1
"a",28,1
"very",28,1
"excellent",28,1
"dish",28,1
"which",28,1
"they",28,1
"call",28,1
"impletata",28,1
"mem",29,1
"get",29,1
"recipe",29,1
"for",29,1
"this",29,1
"also",29,1
"i",30,1
"had",30,1
"to",30,1
"hurry",30,1
"breakfast",30,1
"for",30,1
"the",30,1
"train",30,1
"started",30,1
"a",30,1
"little",30,1
"before",30,1
"eight",30,1
"or",30,1
"rather",30,1
"it",30,1
"ought",30,1
"to",30,1
"have",30,1
"done",30,1
"so",30,1
"for",30,1
"after",30,1
"rushing",30,1
"to",30,1
"the",30,1
"station",30,1
"at",30,1
"730",30,1
"i",30,1
"had",30,1
"to",30,1
"sit",30,1
"in",30,1
"the",30,1
"carriage",30,1
"for",30,1
"more",30,1
"than",30,1
"an",30,1
"hour",30,1
"before",30,1
"we",30,1
"began",30,1
"to",30,1
"move",30,1
"it",31,1
"seems",31,1
"to",31,1
"me",31,1
"that",31,1
"the",31,1
"further",31,1
"east",31,1
"you",31,1
"go",31,1
"the",31,1
"more",31,1
"unpunctual",31,1
"are",31,1
"the",31,1
"trains",31,1
"what",32,1
"ought",32,1
"they",32,1
"to",32,1
"be",32,1
"in",32,1
"china",32,1
"all",33,1
"day",33,1
"long",33,1
"we",33,1
"seemed",33,1
"to",33,1
"dawdle",33,1
"through",33,1
"a",33,1
"country",33,1
"which",33,1
"was",33,1
"full",33,1
"of",33,1
"beauty",33,1
"of",33,1
"every",33,1
"kind",33,1
"sometimes",34,1
"we",34,1
"saw",34,1
"little",34,1
"towns",34,1
"or",34,1
"castles",34,1
"on",34,1
"the",34,1
"top",34,1
"of",34,1
"steep",34,1
"hills",34,1
"such",34,1
"as",34,1
"we",34,1
"see",34,1
"in",34,1
"old",34,1
"missals",34,1
"sometimes",34,1
"we",34,1
"ran",34,1
"by",34,1
"rivers",34,1
"and",34,1
"streams",34,1
"which",34,1
"seemed",34,1
"from",34,1
"the",34,1
"wide",34,1
"stony",34,1
"margin",34,1
"on",34,1
"each",34,1
"side",34,1
"of",34,1
"them",34,1
"to",34,1
"be",34,1
"subject",34,1
"to",34,1
"great",34,1
"floods",34,1
"it",35,1
"takes",35,1
"a",35,1
"lot",35,1
"of",35,1
"water",35,1
"and",35,1
"running",35,1
"strong",35,1
"to",35,1
"sweep",35,1
"the",35,1
"outside",35,1
"edge",35,1
"of",35,1
"a",35,1
"river",35,1
"clear",35,1
"at",36,1
"every",36,1
"station",36,1
"there",36,1
"were",36,1
"groups",36,1
"of",36,1
"people",36,1
"sometimes",36,1
"crowds",36,1
"and",36,1
"in",36,1
"all",36,1
"sorts",36,1
"of",36,1
"attire",36,1
"some",37,1
"of",37,1
"them",37,1
"were",37,1
"just",37,1
"like",37,1
"the",37,1
"peasants",37,1
"at",37,1
"home",37,1
"or",37,1
"those",37,1
"i",37,1
"saw",37,1
"coming",37,1
"through",37,1
"france",37,1
"and",37,1
"germany",37,1
"with",37,1
"short",37,1
"jackets",37,1
"and",37,1
"round",37,1
"hats",37,1
"and",37,1
"home-made",37,1
"trousers",37,1
"but",37,1
"others",37,1
"were",37,1
"very",37,1
"picturesque",37,1
"the",38,1
"women",38,1
"looked",38,1
"pretty",38,1
"except",38,1
"when",38,1
"you",38,1
"got",38,1
"near",38,1
"them",38,1
"but",38,1
"they",38,1
"were",38,1
"very",38,1
"clumsy",38,1
"about",38,1
"the",38,1
"waist",38,1
"they",39,1
"had",39,1
"all",39,1
"full",39,1
"white",39,1
"sleeves",39,1
"of",39,1
"some",39,1
"kind",39,1
"or",39,1
"other",39,1
"and",39,1
"most",39,1
"of",39,1
"them",39,1
"had",39,1
"big",39,1
"belts",39,1
"with",39,1
"a",39,1
"lot",39,1
"of",39,1
"strips",39,1
"of",39,1
"something",39,1
"fluttering",39,1
"from",39,1
"them",39,1
"like",39,1
"the",39,1
"dresses",39,1
"in",39,1
"a",39,1
"ballet",39,1
"but",39,1
"of",39,1
"course",39,1
"there",39,1
"were",39,1
"petticoats",39,1
"under",39,1
"them",39,1
"the",40,1
"strangest",40,1
"figures",40,1
"we",40,1
"saw",40,1
"were",40,1
"the",40,1
"slovaks",40,1
"who",40,1
"were",40,1
"more",40,1
"barbarian",40,1
"than",40,1
"the",40,1
"rest",40,1
"with",40,1
"their",40,1
"big",40,1
"cow-boy",40,1
"hats",40,1
"great",40,1
"baggy",40,1
"dirty-white",40,1
"trousers",40,1
"white",40,1
"linen",40,1
"shirts",40,1
"and",40,1
"enormous",40,1
"heavy",40,1
"leather",40,1
"belts",40,1
"nearly",40,1
"a",40,1
"foot",40,1
"wide",40,1
"all",40,1
"studded",40,1
"over",40,1
"with",40,1
"brass",40,1
"nails",40,1
"they",41,1
"wore",41,1
"high",41,1
"boots",41,1
"with",41,1
"their",41,1
"trousers",41,1
"tucked",41,1
"into",41,1
"them",41,1
"and",41,1
"had",41,1
"long",41,1
"black",41,1
"hair",41,1
"and",41,1
"heavy",41,1
"black",41,1
"moustaches",41,1
"they",42,1
"are",42,1
"very",42,1
"picturesque",42,1
"but",42,1
"do",42,1
"not",42,1
"look",42,1
"prepossessing",42,1
"on",43,1
"the",43,1
"stage",43,1
"they",43,1
"would",43,1
"be",43,1
"set",43,1
"down",43,1
"at",43,1
"once",43,1
"as",43,1
"some",43,1
"old",43,1
"oriental",43,1
"band",43,1
"of",43,1
"brigands",43,1
"they",44,1
"are",44,1
"however",44,1
"i",44,1
"am",44,1
"told",44,1
"very",44,1
"harmless",44,1
"and",44,1
"rather",44,1
"wanting",44,1
"in",44,1
"natural",44,1
"self-assertion",44,1
"it",45,1
"was",45,1
"on",45,1
"the",45,1
"dark",45,1
"side",45,1
"of",45,1
"twilight",45,1
"when",45,1
"we",45,1
"got",45,1
"to",45,1
"bistritz",45,1
"which",45,1
"is",45,1
"a",45,1
"very",45,1
"interesting",45,1
"old",45,1
"place",45,1
"being",46,1
"practically",46,1
"on",46,1
"the",46,1
"frontier",46,1
"for",46,1
"the",46,1
"borgo",46,1
"pass",46,1
"leads",46,1
"from",46,1
"it",46,1
"into",46,1
"bukovina",46,1
"it",46,1
"has",46,1
"had",46,1
"a",46,1
"very",46,1
"stormy",46,1
"existence",46,1
"and",46,1
"it",46,1
"certainly",46,1
"shows",46,1
"marks",46,1
"of",46,1
"it",46,1
"fifty",47,1
"years",47,1
"ago",47,1
"a",47,1
"series",47,1
"of",47,1
"great",47,1
"fires",47,1
"took",47,1
"place",47,1
"which",47,1
"made",47,1
"terrible",47,1
"havoc",47,1
"on",47,1
"five",47,1
"separate",47,1
"occasions",47,1
"at",48,1
"the",48,1
"very",48,1
"beginning",48,1
"of",48,1
"the",48,1
"seventeenth",48,1
"century",48,1
"it",48,1
"underwent",48,1
"a",48,1
"siege",48,1
"of",48,1
"three",48,1
"weeks",48,1
"and",48,1
"lost",48,1
"13000",48,1
"people",48,1
"the",48,1
"casualties",48,1
"of",48,1
"war",48,1
"proper",48,1
"being",48,1
"assisted",48,1
"by",48,1
"famine",48,1
"and",48,1
"disease",48,1
"count",49,1
"dracula",49,1
"had",49,1
"directed",49,1
"me",49,1
"to",49,1
"go",49,1
"to",49,1
"the",49,1
"golden",49,1
"krone",49,1
"hotel",49,1
"which",49,1
"i",49,1
"found",49,1
"to",49,1
"my",49,1
"great",49,1
"delight",49,1
"to",49,1
"be",49,1
"thoroughly",49,1
"old-fashioned",49,1
"for",49,1
"of",49,1
"course",49,1
"i",49,1
"wanted",49,1
"to",49,1
"see",49,1
"all",49,1
"i",49,1
"could",49,1
"of",49,1
"the",49,1
"ways",49,1
"of",49,1
"the",49,1
"country",49,1
"i",50,1
"was",50,1
"evidently",50,1
"expected",50,1
"for",50,1
"when",50,1
"i",50,1
"got",50,1
"near",50,1
"the",50,1
"door",50,1
"i",50,1
"faced",50,1
"a",50,1
"cheery-looking",50,1
"elderly",50,1
"woman",50,1
"in",50,1
"the",50,1
"usual",50,1
"peasant",50,1
"dress",50,1
"white",50,1
"undergarment",50,1
"with",50,1
"long",50,1
"double",50,1
"apron",50,1
"front",50,1
"and",50,1
"back",50,1
"of",50,1
"coloured",50,1
"stuff",50,1
"fitting",50,1
"almost",50,1
"too",50,1
"tight",50,1
"for",50,1
"modesty",50,1
"when",51,1
"i",51,1
"came",51,1
"close",51,1
"she",51,1
"bowed",51,1
"and",51,1
"said",51,1
"the",51,1
"herr",51,1
"englishman",51,1
"yes",52,1
"i",52,1
"said",52,1
"jonathan",52,1
"harker",52,1
"she",53,1
"smiled",53,1
"and",53,1
"gave",53,1
"some",53,1
"message",53,1
"to",53,1
"an",53,1
"elderly",53,1
"man",53,1
"in",53,1
"white",53,1
"shirt-sleeves",53,1
"who",53,1
"had",53,1
"followed",53,1
"her",53,1
"to",53,1
"the",53,1
"door",53,1
"he",54,1
"went",54,1
"but",54,1
"immediately",54,1
"returned",54,1
"with",54,1
"a",54,1
"letter",54,1
"my",54,1
"friend",54,1
"welcome",54,1
"to",54,1
"the",54,1
"carpathians",54,1
"i",55,1
"am",55,1
"anxiously",55,1
"expecting",55,1
"you",55,1
"sleep",56,1
"well",56,1
"to-night",56,1
"at",57,1
"three",57,1
"to-morrow",57,1
"the",57,1
"diligence",57,1
"will",57,1
"start",57,1
"for",57,1
"bukovina",57,1
"a",57,1
"place",57,1
"on",57,1
"it",57,1
"is",57,1
"kept",57,1
"for",57,1
"you",57,1
"at",58,1
"the",58,1
"borgo",58,1
"pass",58,1
"my",58,1
"carriage",58,1
"will",58,1
"await",58,1
"you",58,1
"and",58,1
"will",58,1
"bring",58,1
"you",58,1
"to",58,1
"me",58,1
"i",59,1
"trust",59,1
"that",59,1
"your",59,1
"journey",59,1
"from",59,1
"london",59,1
"has",59,1
"been",59,1
"a",59,1
"happy",59,1
"one",59,1
"and",59,1
"that",59,1
"you",59,1
"will",59,1
"enjoy",59,1
"your",59,1
"stay",59,1
"in",59,1
"my",59,1
"beautiful",59,1
"land",59,1
"your",60,1
"friend",60,1
"dracula",60,1
"4",61,1
"may",61,1
"i",62,1
"found",62,1
"that",62,1
"my",62,1
"landlord",62,1
"had",62,1
"got",62,1
"a",62,1
"letter",62,1
"from",62,1
"the",62,1
"count",62,1
"directing",62,1
"him",62,1
"to",62,1
"secure",62,1
"the",62,1
"best",62,1
"place",62,1
"on",62,1
"the",62,1
"coach",62,1
"for",62,1
"me",62,1
"but",62,1
"on",62,1
"making",62,1
"inquiries",62,1
"as",62,1
"to",62,1
"details",62,1
"he",62,1
"seemed",62,1
"somewhat",62,1
"reticent",62,1
"and",62,1
"pretended",62,1
"that",62,1
"he",62,1
"could",62,1
"not",62,1
"understand",62,1
"my",62,1
"german",62,1
"this",63,1
"could",63,1
"not",63,1
"be",63,1
"true",63,1
"because",63,1
"up",63,1
"to",63,1
"then",63,1
"he",63,1
"had",63,1
"understood",63,1
"it",63,1
"perfectly",63,1
"at",63,1
"least",63,1
"he",63,1
"answered",63,1
"my",63,1
"questions",63,1
"exactly",63,1
"as",63,1
"if",63,1
"he",63,1
"did",63,1
"he",64,1
"and",64,1
"his",64,1
"wife",64,1
"the",64,1
"old",64,1
"lady",64,1
"who",64,1
"had",64,1
"received",64,1
"me",64,1
"looked",64,1
"at",64,1
"each",64,1
"other",64,1
"in",64,1
"a",64,1
"frightened",64,1
"sort",64,1
"of",64,1
"way",64,1
"he",65,1
"mumbled",65,1
"out",65,1
"that",65,1
"the",65,1
"money",65,1
"had",65,1
"been",65,1
"sent",65,1
"in",65,1
"a",65,1
"letter",65,1
"and",65,1
"that",65,1
"was",65,1
"all",65,1
"he",65,1
"knew",65,1
"when",66,1
"i",66,1
"asked",66,1
"him",66,1
"if",66,1
"he",66,1
"knew",66,1
"count",66,1
"dracula",66,1
"and",66,1
"could",66,1
"tell",66,1
"me",66,1
"anything",66,1
"of",66,1
"his",66,1
"castle",66,1
"both",66,1
"he",66,1
"and",66,1
"his",66,1
"wife",66,1
"crossed",66,1
"themselves",66,1
"and",66,1
"saying",66,1
"that",66,1
"they",66,1
"knew",66,1
"nothing",66,1
"at",66,1
"all",66,1
"simply",66,1
"refused",66,1
"to",66,1
"speak",66,1
"further",66,1
"it",67,1
"was",67,1
"so",67,1
"near",67,1
"the",67,1
"time",67,1
"of",67,1
"starting",67,1
"that",67,1
"i",67,1
"had",67,1
"no",67,1
"time",67,1
"to",67,1
"ask",67,1
"any",67,1
"one",67,1
"else",67,1
"for",67,1
"it",67,1
"was",67,1
"all",67,1
"very",67,1
"mysterious",67,1
"and",67,1
"not",67,1
"by",67,1
"any",67,1
"means",67,1
"comforting",67,1
"just",68,1
"before",68,1
"i",68,1
"was",68,1
"leaving",68,1
"the",68,1
"old",68,1
"lady",68,1
"came",68,1
"up",68,1
"to",68,1
"my",68,1
"room",68,1
"and",68,1
"said",68,1
"in",68,1
"a",68,1
"very",68,1
"hysterical",68,1
"way",68,1
"must",68,1
"you",68,1
"go",68,1
"oh",69,1
"young",70,1
"herr",70,1
"must",70,1
"you",70,1
"go",70,1
"she",71,1
"was",71,1
"in",71,1
"such",71,1
"an",71,1
"excited",71,1
"state",71,1
"that",71,1
"she",71,1
"seemed",71,1
"to",71,1
"have",71,1
"lost",71,1
"her",71,1
"grip",71,1
"of",71,1
"what",71,1
"german",71,1
"she",71,1
"knew",71,1
"and",71,1
"mixed",71,1
"it",71,1
"all",71,1
"up",71,1
"with",71,1
"some",71,1
"other",71,1
"language",71,1
"which",71,1
"i",71,1
"did",71,1
"not",71,1
"know",71,1
"at",71,1
"all",71,1
"i",72,1
"was",72,1
"just",72,1
"able",72,1
"to",72,1
"follow",72,1
"her",72,1
"by",72,1
"asking",72,1
"many",72,1
"questions",72,1
"when",73,1
"i",73,1
"told",73,1
"her",73,1
"that",73,1
"i",73,1
"must",73,1
"go",73,1
"at",73,1
"once",73,1
"and",73,1
"that",73,1
"i",73,1
"was",73,1
"engaged",73,1
"on",73,1
"important",73,1
"business",73,1
"she",73,1
"asked",73,1
"again",73,1
"do",73,1
"you",73,1
"know",73,1
"what",73,1
"day",73,1
"it",73,1
"is",73,1
"i",74,1
"answered",74,1
"that",74,1
"it",74,1
"was",74,1
"the",74,1
"fourth",74,1
"of",74,1
"may",74,1
"she",75,1
"shook",75,1
"her",75,1
"head",75,1
"as",75,1
"she",75,1
"said",75,1
"again",75,1
"oh",75,1
"yes",75,1
"i",76,1
"know",76,1
"that",76,1
"i",77,1
"know",77,1
"that",77,1
"but",77,1
"do",77,1
"you",77,1
"know",77,1
"what",77,1
"day",77,1
"it",77,1
"is",77,1
"on",78,1
"my",78,1
"saying",78,1
"that",78,1
"i",78,1
"did",78,1
"not",78,1
"understand",78,1
"she",78,1
"went",78,1
"on",78,1
"it",78,1
"is",78,1
"the",78,1
"eve",78,1
"of",78,1
"st",78,1
"george's",79,1
"day",79,1
"do",80,1
"you",80,1
"not",80,1
"know",80,1
"that",80,1
"to-night",80,1
"when",80,1
"the",80,1
"clock",80,1
"strikes",80,1
"midnight",80,1
"all",80,1
"the",80,1
"evil",80,1
"things",80,1
"in",80,1
"the",80,1
"world",80,1
"will",80,1
"have",80,1
"full",80,1
"sway",80,1
"do",81,1
"you",81,1
"know",81,1
"where",81,1
"you",81,1
"are",81,1
"going",81,1
"and",81,1
"what",81,1
"you",81,1
"are",81,1
"going",81,1
"to",81,1
"she",82,1
"was",82,1
"in",82,1
"such",82,1
"evident",82,1
"distress",82,1
"that",82,1
"i",82,1
"tried",82,1
"to",82,1
"comfort",82,1
"her",82,1
"but",82,1
"without",82,1
"effect",82,1
"finally",83,1
"she",83,1
"went",83,1
"down",83,1
"on",83,1
"her",83,1
"knees",83,1
"and",83,1
"implored",83,1
"me",83,1
"not",83,1
"to",83,1
"go",83,1
"at",83,1
"least",83,1
"to",83,1
"wait",83,1
"a",83,1
"day",83,1
"or",83,1
"two",83,1
"before",83,1
"starting",83,1
"it",84,1
"was",84,1
"all",84,1
"very",84,1
"ridiculous",84,1
"but",84,1
"i",84,1
"did",84,1
"not",84,1
"feel",84,1
"comfortable",84,1
"however",85,1
"there",85,1
"was",85,1
"business",85,1
"to",85,1
"be",85,1
"done",85,1
"and",85,1
"i",85,1
"could",85,1
"allow",85,1
"nothing",85,1
"to",85,1
"interfere",85,1
"with",85,1
"it",85,1
"i",86,1
"therefore",86,1
"tried",86,1
"to",86,1
"raise",86,1
"her",86,1
"up",86,1
"and",86,1
"said",86,1
"as",86,1
"gravely",86,1
"as",86,1
"i",86,1
"could",86,1
"that",86,1
"i",86,1
"thanked",86,1
"her",86,1
"but",86,1
"my",86,1
"duty",86,1
"was",86,1
"imperative",86,1
"and",86,1
"that",86,1
"i",86,1
"must",86,1
"go",86,1
"she",87,1
"then",87,1
"rose",87,1
"and",87,1
"dried",87,1
"her",87,1
"eyes",87,1
"and",87,1
"taking",87,1
"a",87,1
"crucifix",87,1
"from",87,1
"her",87,1
"neck",87,1
"offered",87,1
"it",87,1
"to",87,1
"me",87,1
"i",88,1
"did",88,1
"not",88,1
"know",88,1
"what",88,1
"to",88,1
"do",88,1
"for",88,1
"as",88,1
"an",88,1
"english",88,1
"churchman",88,1
"i",88,1
"have",88,1
"been",88,1
"taught",88,1
"to",88,1
"regard",88,1
"such",88,1
"things",88,1
"as",88,1
"in",88,1
"some",88,1
"measure",88,1
"idolatrous",88,1
"and",88,1
"yet",88,1
"it",88,1
"seemed",88,1
"so",88,1
"ungracious",88,1
"to",88,1
"refuse",88,1
"an",88,1
"old",88,1
"lady",88,1
"meaning",88,1
"so",88,1
"well",88,1
"and",88,1
"in",88,1
"such",88,1
"a",88,1
"state",88,1
"of",88,1
"mind",88,1
"she",89,1
"saw",89,1
"i",89,1
"suppose",89,1
"the",89,1
"doubt",89,1
"in",89,1
"my",89,1
"face",89,1
"for",89,1
"she",89,1
"put",89,1
"the",89,1
"rosary",89,1
"round",89,1
"my",89,1
"neck",89,1
"and",89,1
"said",89,1
"for",89,1
"your",89,1
"mother's",89,1
"sake",89,1
"and",89,1
"went",89,1
"out",89,1
"of",89,1
"the",89,1
"room",89,1
"i",90,1
"am",90,1
"writing",90,1
"up",90,1
"this",90,1
"part",90,1
"of",90,1
"the",90,1
"diary",90,1
"whilst",90,1
"i",90,1
"am",90,1
"waiting",90,1
"for",90,1
"the",90,1
"coach",90,1
"which",90,1
"is",90,1
